"feature","coef.AD","qval.AD","coef.MCI","qval.MCI","coef.SCD","qval.SCD","coef.SCS","qval.SCS"
"K01697",-0.813418885049449,0.0960722203749214,1.76397926273276,0.000850712018490843,-0.396925493864546,0.451753871298805,3.35375082456236,3.97120078619135e-07
"K20274",1.22938820658185e-30,1,-5.99520433297585e-15,1,2.90763041212624,4.01672054977709e-07,-9.97838887024244e-31,1
"K11939",-0.439160300097124,0.533487543820552,4.32509164748685,4.02556109866897e-07,3.16982420728241,2.4267557200158e-05,0.388239949194682,0.593173032017724
"K08354",-8.15221696256813e-31,1,2.99760216648792e-15,1,1.84401135542233,4.02903860560002e-07,-2.49459721756061e-30,1
"K00720",7.60117743061015e-17,1,2.93442448944957,4.03943727332591e-07,2.65297605753794,1.60673034667977e-06,0.264297001345272,0.591748840338659
"K00242",-2.57010847591142e-17,1,1.47688751137099,5.70214900799117e-07,1.51378544042728,4.05001495693978e-07,7.0216669371534e-17,1
"K02471",-2.65930400612959e-30,1,-5.60662627435704e-15,1,1.96021948406625,4.05209920072367e-07,-9.97838887024244e-31,1
"K19156",3.34212654943146e-32,1,1.55431223447522e-15,1,1.94679648029573,4.06330173854451e-07,4.98919443512122e-31,1
"K02315",-0.732248984474758,3.94252795414144e-06,-0.865202477571546,4.08106833754047e-07,-0.521298488112216,0.000225654694949192,-0.566131037505062,9.23190176137034e-05
"K06338",-1.00022824293631,0.10021064103014,-4.16446510317057,4.09844895685639e-07,1.09908252775386,0.0708336803417252,-3.1696811787605,1.54970461346042e-05
"K06990",-1.01310309765074,7.80466880677555e-07,-1.06121664212592,4.12470100739184e-07,-0.555632102052436,0.000907842633782857,0.287243030722608,0.0641346636644897
"K03436",-0.719830327192609,6.06768114580898e-05,-0.165425302011311,0.299862967028635,-1.05921283878554,4.13271914080153e-07,-0.670505216648674,0.00013443677025329
"K22304",-8.64153825046986e-31,1,-7.99360577730113e-15,1,1.66337023733658,4.13883659809476e-07,0,1
"K16138",-4.45445418721219e-30,1,-1.00475183728577e-14,1,1.82520423398096,4.16286745327826e-07,-1.99567777404849e-30,1
"K17203",-2.36299515624423,5.4751687848951e-07,-0.518502022880212,0.14266330811971,-2.40943062400064,4.18042875562935e-07,0.753729611703624,0.0334805567355822
"K20742",-0.558297727212204,0.197576942261003,-0.79615657318048,0.0634427621565382,-2.9295745712277,4.20560763037803e-07,-1.4566614083973,0.00145808009110973
"K01474",-2.86889769540174,4.21682685077512e-07,-0.658539719531214,0.117336382014079,-2.65904476814385,1.19684919272019e-06,-1.85641392539019,0.000107260124489324
"K14645",-2.32573050262865,2.81697566918413e-05,0.880320685568152,0.0605289559937781,3.20146449710753,4.22287050561372e-07,2.41747272744301,1.75516777494484e-05
